0A;GNT;Amber Air
BQ;ROM;Aeromar Lineas Aereas Dominicanas
BR;EVA;EVA Air
BS;BIH;British International Helicopters
BT;BTI;Air Baltic
BU;BUN;Buryat Airlines Aircompany
BV;BPA;Blue Panorama Airlines
BW;BWA;Caribbean Airlines
BX;ABL;Air Busan
BY;TOM;Thomson Airways
BZ;BDA;Blue Dart Aviation
C3;IPR;Independent Carrier (ICAR)
C4;IMX;Zimex Aviation
C5;UCA;CommutAir
C6;CJA;CanJet
C7;CIN;Cinnamon Air
C8;ICV;Cargolux Italia
C9;RUS;Cirrus Airlines
CA;CCA;Air China
CB*;KFS;Kalitta Charters II
CC;ABD;Air Atlanta Icelandic
CD;CND;Corendon Dutch Airlines
CE;NTW;Nationwide Airlines
CF;SDR;City Airline
CG;TOK;Airlines PNG
CI;CAL;China Airlines
CJ;CFE;BA CityFlyer
CK;CKK;China Cargo Airlines
CL;CLH;Lufthansa CityLine
CM;CMP;Copa Airlines
CO;COA;Continental Airlines
CP;CDN;Canadian Airlines
CQ;CCW;Central Charter
CS;CMI;Continental Micronesia
CT;CAT;Civil Air Transport
CU;CUB;Cubana de Aviación
CV;CVA;Air Chathams
CW;CWM;Air Marshall Islands
CX;CPA;Cathay Pacific
CY;CYP;Cyprus Airways
CZ;CSN;China Southern Airlines
D0;DHK;DHL Air Limited
D2;SSF;Severstal Air Company
D3;DAO;Daallo Airlines
D4;LID;Alidaunia
D5;DAU;Dauair
D6;ILN;Interair South Africa
D7;XAX;AirAsia X
D8;IBK;Norwegian Air International (Norway)
D9;DNV;Donavia
DA;GRG;Air Georgia
DB;BZH;Brit Air
DC;GAO;Golden Air
DD;DDL;Danish Air Lines
DE;CFG;Condor Flugdienst
DG;SRQ;Cebgo
DH;DVA;Discovery Airways
DI;BAG;Dba
DJ;WAJ;AirAsia Japan
DK;ELA;Eastland Air
DL;DAL;Delta Air Lines
DO;DOA;Dominicana de Aviación
DP;FCA;First Choice Airways
DS;EZS;easyJet Switzerland
DT;DTA;TAAG Angola Airlines
DU;NLH;Norwegian Long Haul
DV;LTF;Lufttaxi Fluggesellschaft
DW;UCR;Aero-Charter Ukraine
DX;DTR;DAT Danish Air Transport
DY;NAX;Norwegian Air Shuttle
E0;ESS;Eos Airlines
E2;KMP;Kampuchea Airlines
E3;DMO;Domodedovo Airlines
E4;RSO;Aero Asia International
E5;BRZ;Samara Airlines
E7;ESF;Estafeta Carga Aérea
E8;ELG;Alpi Eagles
E9;CXS;Boston-Maine Airways
EA;EAL;Eastern Air Lines
EC;TWN;Avialeasing Aviation Company
ED*;ABQ;Airblue
EE;EAY;Aero Airlines
EF;EFA;Far Eastern Air Transport
EG;JAA;Japan Asia Airways
EH;AKX;Air Nippon Network Co. Ltd.
EI;EIN;Aer Lingus
EJ;NEA;New England Airlines
EK;UAE;Emirates Airlines
EL;ANK;Air Nippon
EM;CFS;Empire Airlines
EM*;AEB;Aero Benin
EN;DLA;Air Dolomiti
EO;LHN;Express One International
EP;IRC;Iran Aseman Airlines
EQ;TAE;TAME
ER;DHL;Astar Air Cargo
ES;DHX;DHL International
ET;ETH;Ethiopian Airlines
EU;EEA;Empresa Ecuatoriana De Aviación
EV;ASQ;Atlantic Southeast Airlines
EW;EWG;Eurowings
EX;BJK;Atlantic Airlines
EY;EFL;Eagle Air
EZ;EIA;Evergreen International Airlines
F2;FLM;Fly Air
F3;FSW;Faso Airways
F4;NBK;Albarka Air
F5;COZ;Cosmic Air
F6;RCK;FaroeJet
F7;BBO;Flybaboo
F9;FFT;Frontier Airlines
FA;SFR;Safair
FB;LZB;Bulgaria Air
FC;WBA;Finncomm Airlines
FE;WCP;Primaris Airlines
FG;AFG;Ariana Afghan Airlines
FH;FHY;Freebird Airlines
FI;ICE;Icelandair
FJ;FJI;Fiji Airways
FK;WTA;Africa West
FL;TRS;AirTran Airways
FM;CSH;Shanghai Airlines
FN;RGL;Regional Air Lines
FO;ATM;Airlines of Tasmania
FP;FRE;FlyPelican
FR;RYR;Ryanair
FS;ACL;Itali Airlines
FT;SRH;Siem Reap Airways
FV;PLK;Pulkovo Aviation Enterprise
FW;IBX;Ibex Airlines
FX;FDX;Federal Express
FY;FFM;Firefly
FZ;FDB;Flydubai
G0;GHB;Ghana International Airlines
G2;VXG;Avirex
G3;CIX;City Connexion Airlines
G4;AAY;Allegiant Air
G5;HXA;China Express Airlines
G6;BSR;Guine Bissaur Airlines
G7;GNF;Gandalf Airlines
G8;AGB;Air Service Gabon
G9;ABY;Air Arabia
GA;GIA;Garuda Indonesia
GB;ABX;Airborne Express
GC;GNR;Gambia International Airlines
GD;AHA;Air Alpha Greenland
GE;TNA;TransAsia Airways
GF;GFA;Gulf Air
GG;GUY;Air Guyane
GH;GLP;Globus Airlines
GI;IKA;Itek Air
GJ;MXC;Compania Mexicargo
GL;GRL;Air Greenland
GM;SVK;Air Slovakia
GN;AGN;Air Gabon
GO;KZU;Kuzu Airlines Cargo
GP;RIV;APG Airlines
GQ;BSY;Big Sky Airlines
GR;AUR;Aurigny Air Services
GS;UPA;Air Foyle
GT;GBL;GB Airways
GV;ARF;Aero Flight
GW;KIL;Kuban Airlines
GX;GBC;Guangxi Beibu Gulf Airlines
GZ;RAR;Air Rarotonga
H2;SKU;Sky Airline
H5;HOA;Hola Airlines
H6;HAG;Hageland Aviation Services
H7;EGU;Eagle Air
H8;KHB;Dalavia
H9;HAD;Air d'Ayiti
HA;HAL;Hawaiian Airlines
HB;HAR;Harbor Airlines
HC;ATI;Aero-Tropics Air Services
HD;HLN;Air Holland
HE;LGW;Luftfahrtgesellschaft Walter
HF;HLF;Hapagfly
HG;NLY;Niki
HJ;AXF;Asian Express Airlines
HK;FSC;Four Star Aviation / Four Star Cargo
HM;SEY;Air Seychelles
HN;HVY;Heavylift Cargo Airlines
HO;DJA;Antinea Airlines
HP;AWE;America West Airlines
HQ;HMY;Harmony Airways
HR;HHN;Hahn Air
HT;AHW;Aeromist-Kharkiv
HU;CHH;Hainan Airlines
HV;TRA;Transavia Holland
HW;FHE;Hello
HX;CRK;Hong Kong Airlines
HY;UZB;Uzbekistan Airways
HZ;SHU;Sakhalinskie Aviatrassy (SAT)
CH;BMJ;Bemidji Airlines
I2;IBS;Iberia Express
I4;FWA;Interstate Airlines
I5;IAD;AirAsia India
I6;SEQ;Sky Eyes
I7;PMW;Paramount Airways
I9;IBU;Indigo Airlines
I9*;AEY;Air Italy
IA;IAW;Iraqi Airways
IB;IBE;Iberia Airlines
IC;IAC;Indian Airlines
ID;BTK;Batik Air
IE;SOL;Solomon Airlines
IF;ISW;Islas Airways
IG;ISS;Meridiana
II;CSQ;IBC Airways
IJ;GWL;Great Wall Airlines
IK;KAR;Ikar
IM;MNJ;Menajet
IN;MAK;MAT Macedonian Airlines
IO;IAA;Indonesian Airlines
IP;JOL;Atyrau Air Ways
IQ;AUB;Augsburg Airways
IR;IRA;Iran Air
IT;KFR;Kingfisher Airlines
IV;JET;Wind Jet
IW;AOM;AOM French Airlines
IX;AXB;Air India Express
IY;IYE;Yemenia
IZ;AIZ;Arkia Israel Airlines
J2;AHY;Azerbaijan Airlines
J3;PLR;Northwestern Air
J4;BFL;Buffalo Airways
J6;AOC;AVCOM
J7;CVC;Centre-Avia
J8;BVT;Berjaya Air
J9;GIF;Guinee Airlines
JA;BON;B&H Airlines
JB;JBA;Helijet
JC;JEX;JAL Express
JD;CBJ;Beijing Capital Airlines
JE;MNO;Mango
JF;JAA;Jet Asia Airways
JH;NES;Nordeste Linhas Aéreas Regionais
JI;JAE;Jade Cargo International
JJ;AGX;Aviogenex
JK;JKK;Spanair
JL;JAL;Japan Airlines
JM;AJM;Air Jamaica
JN;XLA;Excel Airways
JO;JAZ;JALways
JP;ADR;Adria Airways
JQ;JST;Jetstar Airways
JR;SER;Aero California
JS;KOR;Air Koryo
JT;LNI;Lion Mentari Airlines
JU;ASL;Air Serbia
JV;BLS;Bearskin Lake Air Service
JW;APW;Arrow Air
JX;JEC;Jett8 Airlines Cargo
JY;IWY;InterCaribbean Airways
JZ;SKX;Avia Express
K2;ELO;Eurolot
K3;TQN;Taquan Air Services
K4;CKS;Kalitta Air
K5;SQH;SeaPort Airlines
K6;KHV;Angkor Air
K8;ZAK;Airlink Zambia
K9;KFS;Kalitta Charters
KA;HDA;Cathay Dragon
KB;DRK;Druk Air
KC;KZR;Air Astana
KD;AEN;Air Enterprise
KE;KAL;Korean Air
KF;BLF;Blue1
KG;BNX;LAI - Línea Aérea IAACA
KH;AAH;Aloha Air Cargo
KI;AAG;Air Atlantique
KJ;AAZ;Asian Air
KK;KKK;Atlasjet
KL;KLM;KLM
KM;AMC;Air Malta
KN;CUA;China United Airlines
KO;AER;Alaska Central Express
KP;KIA;Kiwi International Air Lines
KQ;KQA;Kenya Airways
KR;CWK;Comores Airlines
KS;PEN;Peninsula Airways
KU;KAC;Kuwait Airways
KV;MVD;Kavminvodyavia
KW;KHK;Kharkiv Airlines
KX;CAY;Cayman Airways
KY;EQL;Air São Tomé and Príncipe
KZ;NCA;Nippon Cargo Airlines
L2;LYC;Lynden Air Cargo
L3;JOS;DHL de Guatemala
L4;SSX;Lynx Aviation
L6;VNZ;Tbilaviamsheni
L7;LPN;Laoag International Airlines
L8;LXG;Air Luxor GB
L9;MLI;Air Mali
LA;LAN;LATAM Chile
LB;LLB;Lloyd Aéreo Boliviano
LC;LOG;Loganair
LD;AHK;Air Hong Kong
LF;NDC;FlyNordic
LG;LGL;Luxair
LH;DLH;Lufthansa
LI;LIA;Leeward Islands Air Transport
LJ;JNA;Jin Air
LK;LXR;Air Luxor
LL;GRO;Allegro
LM;LVG;Livingston Energy Flight
LN;LAA;Libyan Arab Airlines
LO;LOT;LOT Polish Airlines
LP;LPE;LATAM Peru
LQ;LAQ;Lebanese Air Transport
LR;LRC;LACSA
LS;EXS;Jet2.com
LT;LTU;LTU International
LU;LXP;LATAM Express
LV;LBC;Albanian Airlines
LW;NMI;Pacific Wings
LX;SWR;Swiss International Air Lines
LY;ELY;El Al Israel Airlines
LZ[30];SWU;Swiss Global Air Lines
M2;MZS;Mahfooz Aviation
M3;TUS;ABSA Cargo
M4;MSA;Mistral Air
M5;KEN;Kenmore Air
M6;AJT;Amerijet International
M7;MAA;MasAir
M8;MKN;Mekong Airlines
M9;MSI;Motor Sich
MA;MAH;Malév Hungarian Airlines
MB;EXA;Execair Aviation
MC;RCH;Air Mobility Command
MD;MDG;Air Madagascar
ME;MEA;Middle East Airlines
MF;CXA;Xiamen Airlines
MG;CCP;Champion Air
MH;MWG;MASwings
MI;SLK;SilkAir
MJ;LPR;Líneas Aéreas Privadas Argentinas
MK;MAU;Air Mauritius
ML;BIE;Air Mediterranee
MM;MMZ;EuroAtlantic Airways
MN;CAW;Comair
MO;AUH;Abu Dhabi Amiri Flight
MP;MPH;Martinair
MQ;EGF;American Eagle Airlines
MR;MRT;Air Mauritanie
MS;MSR;Egyptair
MT;JMC;JMC Airlines
MU;CES;China Eastern Airlines
MV;RML;Armenian International Airways
MW;MYD;Maya Island Air
MX;MXA;Mexicana de Aviación
MY;MXJ;Maxjet Airways
MZ;MNA;Merpati Nusantara Airlines
N2;DAG;Dagestan Airlines
N4;MTC;Mountain Air Company
N5;KGZ;Kyrgyz Airlines
N6;JEV;Lagun Air
N7;ROK;National Airlines
N8;HGK;Fika Salaama Airlines
NA;NAL;National Airlines
NB;SNB;Sterling Airlines
NC;NJS;National Jet Systems
NE;ESK;SkyEurope
NF;AVN;Air Vanuatu
NG;LDA;Lauda Air
NH;ANA;All Nippon Airways
NK;NKS;Spirit Airlines
NL;SAI;Shaheen Air International
NM;DRD;Air Madrid
NN;MOV;VIM Airlines
NO;AUS;Aus-Air
NQ;AJX;Air Japan
NR;PIR;Pamir Airways
NT;IBB;Binter Canarias
NU;JTA;Japan Transocean Air
NV;CRF;Air Central
NW;NWA;Northwest Airlines
NX;AMU;Air Macau
NY;FXI;Air Iceland
NZ;ANZ;Air New Zealand
O2;JEA;OLT Express
O3;CSS;SF Airlines
O4;ABV;Antrak Air
O6;ONE;Avianca Brazil
O7;OZJ;Ozjet Airlines
O8;OHK;Oasis Hong Kong Airlines
O9;NOV;Nova Airline
OA;OAL;Olympic Air
OB;ASZ;Astrakhan Airlines
OD;MXD;Malindo Airways
OE;AOT;Asia Overnight Express
OE[20];LDM;LaudaMotion
OF;FIF;Air Finland
OH;COM;Comair
OJ;FJM;Fly Jamaica Airways
OK;CSA;Czech Airlines
OL;OLT;OLT Express Germany
OM;MGL;MIAT Mongolian Airlines
ON;RON;Our Airline
OO;SKW;SkyWest Airlines
OP;CHK;Chalk's International Airlines
OR;TFL;Arkefly
OS;AUA;Austrian Airlines
OT;PEL;Aeropelican Air Services
OU;CTN;Croatia Airlines
OV;ELL;Estonian Air
OW;EXK;Executive Airlines
OX;OEA;Orient Thai Airlines
OY;ANS;Andes Líneas Aéreas
OZ;AAR;Asiana Airlines
P0;PFZ;Proflight Zambia
P3;PTB;Passaredo Transportes Aéreos
P5;RPB;AeroRepública
P6;PVG;Privilege Style Líneas Aéreas
P7;REP;Regional Paraguaya
P8;MKG;Air Mekong
PA;FCL;Florida Coastal Airlines
PC;FAJ;Air Fiji
PD;POE;Porter Airlines
PE;AEL;Air Europe Italy
PF;PNW;Palestinian Airlines
PG;BKP;Bangkok Airways
PH;PAO;Polynesian Airlines
PI;PDT;Piedmont Airlines (1948-1989)
PJ;SPM;Air Saint Pierre
PK;PIA;Pakistan International Airlines
PL;PLI;Aeroperú
PM;TOS;Tropic Air
PO;PAC;Polar Air Cargo
PP;PJS;Jet Aviation
PR;PAL;Philippine Airlines
PS;AUI;Ukraine International Airlines
PT;CCI;Capital Cargo International Airlines
PU;PUA;PLUNA
PV;PNR;PAN Air
PW;PRF;Precision Air
PX;ANG;Air Niugini
PY;SLM;Surinam Airways
PZ;LAP;LATAM Paraguay
Q2;DQA;Maldivian (airline)
Q3;MBN;Zambian Airways
Q5;MLA;40-Mile Air
Q6;CDP;Aero Condor Peru
Q7;SBM;SkyBahamas
Q8;PEC;Pacific East Asia Cargo Airlines
Q9;AFU;Afrinat International Airlines
QB;AAJ;Air Alma
QC;CRD;Air Corridor
QD;QCL;Air Class Líneas Aéreas
QE;ECC;Crossair Europe
QF;EAQ;Eastern Australia Airlines
QH;LYN;Air Kyrgyzstan
QI;CIM;Cimber Sterling
QK;JZA;Air Canada Jazz
QL;RLN;Aero Lanka
QM;AML;Air Malawi
QN;ARR;Air Armenia
QO;MPX;Aeromexpress
QQ;UTY;Alliance Airlines
QR;QTR;Qatar Airways
QS;QSC;African Safari Airways
QT;TPA;TAMPA
QU;UTN;UTair-Ukraine
QV;LAO;Lao Airlines
QW;BWG;Blue Wings
QX;QXE;Horizon Air
QY;BCS;European Air Transport
QZ;AWQ;Indonesia AirAsia
R0;RPK;Royal Airlines
R2;ORB;Orenburg Airlines
R3;RME;Armenian Airlines
R5;JAV;Jordan Aviation
R7;OCA;Aserca Airlines
R8;KGA;Kyrgyzstan Airlines
R9;CAM;Camai Air
RA;RNA;Nepal Airlines
RB;SBK;Air Srpska
RC;FLI;Atlantic Airways
RD;RYN;Ryan International Airlines
RE;REA;Aer Arann
RF;FWL;Florida West International Airways
RG;VRN;VRG Linhas Aéreas
RH;HKC;Hong Kong Air Cargo
RI;MDL;Mandala Airlines
RJ;RJA;Royal Jordanian
RK;RCT;Skyview Airways
RL;RIO;Rio Linhas Aéreas
RO;ROT;Tarom
RP*;CHQ;Chautauqua Airlines
RQ;KMF;Kam Air
RR;RFR;Royal Air Force
RS;ICT;Intercontinental de Aviación
RT;BUG;UVT Aero
RU;ABW;AirBridge Cargo
RV;ROU;Air Canada Rouge
RV*;AFI;Africaone
RW;RPA;Republic Airlines
RX;AEH;Aviaexpress
S0;OKS;Slok Air Gambia
S2;RSH;Air Sahara
S3;BBR;Santa Barbara Airlines
S4;RZO;SATA International
S5;TCF;Shuttle America
S6;SRR;Star Air
S7;SBI;S7 Airlines
S8;CSU;Chari Aviation Services
S9;HSA;East African Safari Air
SA;SAA;South African Airways
SB;ACI;Air Caledonie International
SC;CDG;Shandong Airlines
SD;SUD;Sudan Airways
SE;SEU;XL Airways France
SF;DTH;Tassili Airlines
SG;JGO;JetsGo
SH;FLY;Fly Me Sweden
SI;SIH;Skynet Airlines
SJ;FOM;Freedom Air
SK;SAS;Scandinavian Airlines
SL;RSL;Rio Sul Serviços Aéreos Regionais
SM;AAW;Aberdeen Airways
SN;BXI;Brussels International Airlines
SO;HKA;Superior Aviation
SP;SAT;SATA Air Acores
SQ;SIA;Singapore Airlines
SR;SWR;Swissair
SS;CRL;Corsairfly
ST;GMI;Germania
SU;AFL;Aeroflot Russian Airlines
SV;SVA;Saudia
SW;NMB;Air Namibia
SX;SRK;Sky Work Airlines
SY;SCX;Sun Country Airlines
SZ;WOW;Air Southwest
T2;TCG;Thai Air Cargo
T3;EZE;Eastern Airways
T4;TIB;TRIP Linhas Aéreas
T5;TUA;Turkmenhovayollary
T6;TVR;Tavrey Airlines
T7;TJT;Twin Jet
T9;TRZ;TransMeridian Airlines
TC;ATC;Air Tanzania
TD;LUR;Atlantis European Airways
TF;SCW;Malmö Aviation
TG;THA;Thai Airways International
TI;TOL;Tol-Air Services
TJ;GPD;Tradewind Aviation
TK;THY;Turkish Airlines
TL;ANO;Airnorth
TM;LAM;Linhas Aéreas de Moçambique
TN;THT;Air Tahiti Nui
TO;PSD;President Airlines
TP;TAP;TAP Portugal
TQ;TDM;Tandem Aero
TR;TGW;Scoot
TS;TSC;Air Transat
TT;KLA;Air Lithuania
TU;TAR;Tunisair
TV;VEX;Virgin Express
TW;TWB;T'way Air
TX;FWI;Air Caraïbes
TY;TPC;Air Calédonie
TZ;TWG;air-taxi Europe
U2;EZY;easyJet
U3;AIA;Avies
U4;PMT;PMTair
U5;GWY;USA3000 Airlines
U6;SVR;Ural Airlines
U7;UGA;Air Uganda
U8;RNV;Armavia
UA;UAL;United Airlines
UB;UBA;Myanma Airways
UC;LCO;LATAM Cargo Chile
UD;HER;Hex'Air
UE;NAS;Nasair
UF;UKM;UM Airlines
UG;SEN;SevenAir
UH;USH;US Helicopter
UI;ECA;Eurocypria Airlines
UL;ALK;SriLankan Airlines
UM;AZW;Air Zimbabwe
UN;TSO;Transaero Airlines
UO;HKE;Hong Kong Express Airways
UP;BHS;Bahamasair
UQ;OCM;O'Connor Airlines
US;AWE;US Airways
UT;UTA;UTair Aviation
UU;REU;Air Austral
UX;AEA;Air Europa
UY;UYC;Cameroon Airlines
UZ;BRQ;El-Buraq Air Transport
V0;VCV;Conviasa
V2;AKT;Karat
V3;KRP;Carpatair
V4;REK;Reem Air
V5;VLI;Avolar Aerolíneas
V7;SNG;Air Senegal International
V8;VAS;ATRAN Cargo Airlines
V9;BTC;BAL Bashkirian Airlines
VA;OZW;Virgin Australia Regional Airlines
VB;VIV;Aeroenlaces Nacionales
VC;VCX;Ocean Airlines
VD;LIB;Air Liberté
VE;AVE;Avensa
VF;VLU;Valuair
VG;VLM;VLM Airlines
VH;ALV;Aeropostal Alas de Venezuela
VI;VDA;Volga-Dnepr Airlines
VJ;AFF;Africa Airways
VK;FVK;FlyViking
VL;VIM;Air VIA
VM;VOA;Viaggio Air
VN;HVN;Vietnam Airlines
VO;TYR;Tyrolean Airways
VP;VSP;VASP
VQ;NVQ;Novo Air
VR;TCV;TACV
VS;VIR;Virgin Atlantic Airways
VT;VTA;Air Tahiti
VU;VUN;Air Ivoire
VV;AEW;Aerosvit Airlines
VW;TAO;Aeromar
VX;AES;ACES Colombia
VY;FOS;Formosa Airlines
VZ;MYT;MyTravel Airways
W2;CWA;Canadian Western Airlines
W3;FYH;Flyhy Cargo Airlines
W4;BES;Aero Services Executive
W5;IRM;Mahan Air
W6;WZZ;Wizz Air
W7;SAH;Sayakhat Airlines
W8;CJT;Cargojet Airways
W9;AAB;Abelag Aviation
WA;KLC;KLM Cityhopper
WB;RWD;Rwandair Express
WC;ISV;Islena De Inversiones
WD;DSR;DAS Air Cargo
WD*;AAN;Amsterdam Airlines
WE;CWC;Centurion Air Cargo
WF;WIF;Widerøe
WG;SWG;Sunwing Airlines
WH;CNW;China Northwest Airlines
WK;AFB;American Falcon
WN;SWA;Southwest Airlines
WO;WSW;Swoop
WR;HRH;Royal Tongan Airlines
WS;WJA;WestJet
WT;WSG;Wasaya Airways
WV;SWV;Swe Fly
WW;BMI;Bmibaby
WX;BCY;CityJet
WY;OMA;Oman Air
WZ;WSF;West African Airlines
X3;HLX;Hapag-Lloyd Express (TUIfly)
X7;CHF;Chitaavia
X9;NVD;Avion Express
XC;CAI;Corendon Airlines
XF;VLK;Vladivostok Air
XG;CLI;Clickair
XJ;MES;Mesaba Airlines
XK;CCM;Corse Méditerranée
XL;LNE;Aerolane
XN;XAR;XpressAir
XO;CXH;China Xinhua Airlines
XP;CXP;Western
XQ;SXS;SunExpress
XS;SIT;SITA
XT;AXL;Air Exel
XW;NCT;NokScoot
Y0;EMJ;Yellow Air Taxi/Friendship Airways
Y2;AFJ;Alliance Air
Y4;VOI;Volaris
Y5;GMR;Golden Myanmar Airlines
Y6;BTV;Batavia Air
Y8;YZR;Yangtze River Express
Y9;IRK;Kish Air
YB;BRJ;Borajet
YD;CAT;Cologne Air Transport GmbH
YE;ACQ;Aryan Cargo Express
YH;WCW;West Caribbean Airways
